"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Randy Johnson","Mariners","18","2","0","30","30","214.1","12.35","2.73","0.50",".301","77.4 %","","","2.48","2.08","","9.5","60"
"Greg Maddux","Braves","19","2","0","28","28","209.2","7.77","0.99","0.34",".244","82.9 %","","","1.63","2.26","","7.9","104"
"Kevin Appier","Royals","15","10","0","31","31","201.1","8.27","3.58","0.63",".273","69.6 %","","","3.89","3.48","","5.3","3"
"Hideo Nomo","Dodgers","13","6","0","28","28","191.1","11.10","3.67","0.66",".246","76.8 %","","","2.54","2.89","","5.2","666"
"Mike Mussina","Orioles","19","9","0","32","32","221.2","6.42","2.03","0.97",".251","74.4 %","","","3.29","3.78","","5.1","837"
"Shane Reynolds","Astros","10","11","0","30","30","189.1","8.32","1.76","0.71",".321","69.2 %","","","3.47","2.90","","4.9","574"
"John Smoltz","Braves","12","7","0","29","29","192.2","9.02","3.36","0.70",".288","75.1 %","","","3.18","3.30","","4.6","115"
"Alex Fernandez","White Sox","12","8","0","30","30","203.2","7.03","2.87","0.84",".294","70.1 %","","","3.80","3.71","","4.5","1003993"
"Kevin Brown","Orioles","10","9","0","26","26","172.1","6.11","2.51","0.52",".278","70.2 %","","","3.60","3.49","","4.5","642"
"David Cone","- - -","18","8","0","30","30","229.1","7.50","3.45","0.94",".265","76.0 %","","","3.57","4.03","","4.5","1680"
"Chuck Finley","Angels","15","12","0","32","32","203.0","8.65","4.12","0.89",".304","70.5 %","","","4.21","3.94","","4.4","384"
"John Smiley","Reds","12","5","0","28","27","176.2","6.32","1.99","0.56",".297","71.8 %","","","3.46","3.24","","4.3","1012084"
"Tom Glavine","Braves","16","7","0","29","29","198.2","5.75","2.99","0.41",".281","73.6 %","","","3.08","3.49","","4.3","90"
"Pete Schourek","Reds","18","7","0","29","29","190.1","7.57","2.13","0.80",".269","74.3 %","","","3.22","3.42","","4.2","1011608"
"Denny Neagle","Pirates","13","8","0","31","31","209.2","6.44","1.93","0.86",".305","73.9 %","","","3.43","3.60","","4.2","441"
"Erik Hanson","Red Sox","15","5","0","29","29","186.2","6.70","2.84","0.82",".291","68.6 %","","","4.24","3.76","","4.1","1005333"
"Mark Langston","Angels","15","7","0","31","31","200.1","6.38","2.88","0.94",".304","68.1 %","","","4.63","4.05","","4.1","1007323"
"Todd Stottlemyre","Athletics","14","7","0","31","31","209.2","8.80","3.43","1.12",".335","71.0 %","","","4.55","3.99","","4.1","75"
"Ismael Valdez","Dodgers","13","11","1","33","27","197.2","6.83","2.32","0.77",".258","73.4 %","","","3.05","3.49","","3.8","1283"
"David Wells","- - -","16","8","0","29","29","203.0","5.90","2.35","1.02",".272","74.3 %","","","3.24","4.08","","3.7","855"
"Bobby Witt","- - -","5","11","0","29","29","172.0","7.38","3.56","0.63",".330","70.7 %","","","4.13","3.61","","3.6","1014170"
"Jeff Fassero","Expos","13","14","0","30","30","189.0","7.81","3.52","0.71",".332","69.1 %","","","4.33","3.61","","3.6","279"
"Jim Abbott","- - -","11","8","0","30","30","197.0","3.93","2.92","0.64",".288","71.3 %","","","3.70","4.16","","3.5","1000012"
"Tom Gordon","Royals","12","12","0","31","31","189.0","5.67","4.24","0.57",".310","66.7 %","","","4.43","4.15","","3.5","282"
"Jack McDowell","Yankees","15","10","0","30","30","217.2","6.49","3.23","1.03",".281","72.6 %","","","3.93","4.30","","3.5","1008473"
"Scott Erickson","- - -","13","10","0","32","31","196.1","4.86","3.07","0.83",".305","68.1 %","","","4.81","4.32","","3.4","137"
"Andy Benes","- - -","11","9","0","31","31","181.2","8.47","3.86","0.89",".326","67.5 %","","","4.76","3.90","","3.3","1144"
"Dennis Martinez","Indians","12","5","0","28","28","187.0","4.76","2.21","0.82",".263","77.3 %","","","3.08","4.16","","3.3","1008161"
"Jaime Navarro","Cubs","14","6","0","29","29","200.1","5.75","2.52","0.85",".277","76.9 %","","","3.28","3.94","","3.3","1009465"
"Andy Ashby","Padres","12","10","0","31","31","192.2","7.01","2.90","0.79",".291","75.9 %","","","2.94","3.83","","3.3","637"
"Charles Nagy","Indians","16","6","0","29","29","178.0","7.03","3.08","1.01",".319","71.2 %","","","4.55","4.13","","3.2","397"
"Andy Pettitte","Yankees","12","9","0","31","26","175.0","5.86","3.24","0.77",".304","71.2 %","","","4.17","4.01","","3.2","840"
"Roger Pavlik","Rangers","10","10","0","31","31","191.2","7.00","4.23","0.89",".278","71.3 %","","","4.37","4.31","","3.2","1010087"
"Joey Hamilton","Padres","6","9","0","31","30","204.1","5.42","2.47","0.75",".267","71.9 %","","","3.08","3.96","","3.1","328"
"Kevin Ritz","Rockies","11","11","2","31","28","173.1","6.23","3.37","0.83",".289","68.8 %","","","4.21","4.15","","3.1","1010998"
"Pedro Martinez","Expos","14","10","0","30","30","194.2","8.04","3.05","0.97",".268","75.9 %","","","3.51","3.90","","3.0","200"
"Kenny Rogers","Rangers","17","7","0","31","31","208.0","6.06","3.29","1.13",".262","78.3 %","","","3.38","4.51","","3.0","1277"
"Mark Gubicza","Royals","12","14","0","33","33","213.1","3.42","2.62","0.89",".276","74.1 %","","","3.75","4.58","","3.0","1005115"
"Al Leiter","Blue Jays","11","11","0","28","28","183.0","7.52","5.31","0.74",".281","76.9 %","","","3.64","4.37","","3.0","883"
"Tom Candiotti","Dodgers","7","14","0","30","30","190.1","6.67","2.74","0.85",".288","70.4 %","","","3.50","3.91","","2.7","1001911"
"Frank Castillo","Cubs","11","10","0","29","29","188.0","6.46","2.49","1.05",".271","78.6 %","","","3.21","4.11","","2.7","180"
"Bobby Jones","Mets","10","10","0","30","30","195.2","5.84","2.44","0.92",".299","67.2 %","","","4.19","4.05","","2.7","1039"
"Tim Wakefield","Red Sox","16","8","0","27","27","195.1","5.48","3.13","1.01",".241","78.4 %","","","2.95","4.53","","2.6","219"
"Doug Drabek","Astros","10","9","0","31","31","185.0","6.96","2.63","0.88",".326","67.4 %","","","4.77","3.83","","2.6","1003473"
"Orel Hershiser","Indians","16","6","0","26","26","167.1","5.97","2.74","1.13",".263","73.8 %","","","3.87","4.41","","2.5","1005741"
"Mark Leiter","Giants","10","12","0","30","29","195.2","5.93","2.53","0.87",".278","72.1 %","","","3.82","4.15","","2.5","1007501"
"Steve Avery","Braves","7","13","0","29","29","173.1","7.32","2.70","1.14",".284","68.2 %","","","4.67","4.13","","2.5","1706"
"Pat Hentgen","Blue Jays","10","14","0","30","30","200.2","6.05","4.04","1.08",".322","67.9 %","","","5.11","4.73","","2.5","145"
"Steve Sparks","Brewers","9","11","0","33","27","202.0","4.28","3.83","0.76",".288","68.5 %","","","4.63","4.60","","2.4","499"
"Chris Hammond","Marlins","9","6","0","25","24","161.0","7.04","2.63","0.95",".289","74.0 %","","","3.80","3.95","","2.4","92"
"Mike Hampton","Astros","9","8","0","24","24","150.2","6.87","2.93","0.78",".278","68.8 %","","","3.35","3.75","","2.3","430"
"Ramon Martinez","Dodgers","17","7","0","30","30","206.1","6.02","3.53","0.83",".255","70.9 %","","","3.66","4.21","","2.2","1008193"
"Kevin Tapani","- - -","10","13","0","33","31","190.2","6.18","2.27","1.37",".319","68.5 %","","","4.96","4.54","","2.2","1012824"
"Mark Portugal","- - -","11","10","0","31","31","181.2","4.76","2.77","0.84",".279","69.6 %","","","4.01","4.25","","2.2","1010460"
"Pat Rapp","Marlins","14","7","0","28","28","167.1","5.49","4.09","0.54",".284","74.5 %","","","3.44","4.15","","2.2","1010700"
"John Burkett","Marlins","14","14","0","30","30","188.1","6.02","2.72","1.05",".311","73.3 %","","","4.30","4.29","","2.2","179"
"Paul Quantrill","Phillies","11","12","0","33","29","179.1","5.17","2.21","1.00",".314","68.4 %","","","4.67","4.24","","2.0","669"
"Sterling Hitchcock","Yankees","11","10","0","27","27","168.1","6.47","3.64","1.18",".264","69.5 %","","","4.70","4.67","","2.0","824"
"Chris Bosio","Mariners","10","8","0","31","31","170.0","4.50","3.65","0.95",".328","72.0 %","","","4.92","4.79","","2.0","1001212"
"Bret Saberhagen","- - -","7","6","0","25","25","153.0","5.88","1.94","1.24",".291","72.8 %","","","4.18","4.42","","1.8","1011355"
"Tim Belcher","Mariners","10","12","0","28","28","179.1","4.82","4.42","0.95",".285","70.8 %","","","4.52","4.97","","1.7","1000789"
"Felipe Lira","Tigers","9","13","1","37","22","146.1","5.47","3.44","1.05",".288","73.7 %","","","4.31","4.71","","1.7","1007649"
"Wilson Alvarez","White Sox","8","11","0","29","29","175.0","6.07","4.78","1.08",".280","71.9 %","","","4.32","4.94","","1.5","1193"
"Jim Bullinger","Cubs","12","8","0","24","24","150.0","5.58","3.90","0.84",".285","70.7 %","","","4.14","4.56","","1.5","1001646"
"Paul Wagner","Pirates","5","16","1","33","25","165.0","6.55","3.93","0.98",".307","68.9 %","","","4.80","4.50","","1.4","1013490"
"Ken Hill","- - -","10","8","0","30","29","185.0","4.77","3.75","1.02",".292","69.0 %","","","4.62","4.78","","1.4","1005827"
"Dave Mlicki","Mets","9","7","0","29","25","160.2","6.89","3.02","1.29",".278","73.2 %","","","4.26","4.52","","1.3","569"
"Esteban Loaiza","Pirates","8","9","0","32","31","172.2","4.43","2.87","1.09",".309","63.7 %","","","5.16","4.74","","1.2","1310"
"Ricky Bones","Brewers","10","12","0","32","31","200.1","3.46","3.73","1.17",".279","73.3 %","","","4.63","5.32","","1.1","1001161"
"Greg Swindell","Astros","10","9","0","33","26","153.0","5.65","2.29","1.24",".317","70.5 %","","","4.47","4.44","","1.0","76"
"Kevin Gross","Rangers","9","15","0","31","30","183.2","5.19","4.36","1.32",".291","66.7 %","","","5.54","5.44","","0.9","1005088"
"Brad Radke","Twins","11","14","0","29","28","181.0","3.73","2.34","1.59",".265","66.6 %","","","5.32","5.42","","0.8","748"
"Steve Trachsel","Cubs","7","13","0","30","29","160.2","6.55","4.26","1.40",".296","67.9 %","","","5.15","5.09","","0.7","898"
"Kevin Foster","Cubs","12","11","0","30","28","167.2","7.84","3.49","1.72",".258","74.2 %","","","4.51","5.11","","0.7","1004251"
"Terry Mulholland","Giants","5","13","0","29","24","149.0","3.93","2.30","1.51",".309","60.9 %","","","5.80","5.26","","0.1","665"
